A04AA02;granisetroon;
A04AA03;tropisetroon;
A04AA04;dolasetroon;
A04AA05;palonosetroon;
A04AA80;palonosetroon+netupitant;
A04AD;Teised oksendamisvastased ained;
A04AD01;skopolamiin;
A04AD04;klorobutanool;
A04AD05;metopimasiin;
A04AD12;aprepitant;
A04AD14;rolapitant;
A04AD81;fosaprepitant;
A05;SAPITEEDE JA MAKSA RAVI;
A05A;SAPITEEDE RAVI;
A05AA;Sapphapped ja nende derivaadid;
A05AA01;kenodeoksükoolhape;
A05AA02;ursodeoksükoolhape;
A05AA03;koolhape;
A05AA04;obetikoolhape;
A05AB;Sapiteede raviks kasutatavad preparaadid;
A05AX;Teised sapiteede raviks kasutatavad ained;
A05AX01;piprosoliin;
A05AX02;hümekromoon;
A05AX03;tsüklobutürool;
A05AX04;maraliksibaatkloriid;
A05AX05;odeviksibaat;
A05B;MAKSA RAVIKS KASUTATAVAD LIPOTROOPSED AINED;
A05BA;Maksa ravi;
A05BA01;arginiin;
A05BA03;silümariin;
A05BA04;tsitioloon;
A05BA06;ornitiinoksogluraat;
A05BA10;fosfolipiidid;
A05C;SAPITEEDE RAVIKS KASUTATAVATE JA LIPOTROOPSETE AINETE KOMBINATSIOONID;
A06;KÕHUKINNISUSE VASTASED AINED;
A06A;KÕHUKINNISUSE VASTASED AINED;
A06AA;Soolesisaldist pehmendavad ained;
A06AA01;parafiin, vedel;
A06AA02;naatriumdokusaat;
A06AB;Kontaktlahtistid;
A06AB01;oksüfenisatiin;
A06AB02;bisakodüül;
A06AB03;dantroon;
A06AB04;fenoolftaleiin;
A06AB05;riitsinusõli;
A06AB06;sennaglükosiidid;
A06AB08;naatriumpikosulfaat;
A06AB80;naatriumpikosulfaat+magneesiumoksiid+sidrunhape;
A06AC;Soolesisaldise mahtu suurendavad lahtistid;
A06AC01;ispaghula hemitselluloos;
A06AD;Osmootse toimega lahtistid;
A06AD02;magneesiumoksiid;
A06AD04;magneesiumsulfaat;
A06AD10;mineraalained;
A06AD11;laktuloos;
A06AD12;laktitool;
A06AD13;naatriumsulfaat, veevaba;
A06AD15;makrogool;
A06AD65;makrogooli kombinatsioonid;
A06AD80;makrogool+naatriumtsitraat+sidrunhape+naatriumkloriid+kaaliumkloriid;
A06AD81;naatriumsulfaat, veevaba+kaaliumkloriid+naatriumkloriid+makrogool+naatriumvesinikkarbonaat;
A06AD82;dinaatriumvesinikfosfaatdodekahüdraat+naatriumdivesinikfosfaatdihüdraat;
A06AD83;makrogool+naatriumsulfaat, veevaba+naatriumkloriid+kaaliumkloriid+askorbiinhape+naatriumaskorbaat;
A06AD84;makrogool+naatriumkloriid+naatriumvesinikkarbonaat+kaaliumkloriid;
A06AD85;naatriumsulfaat, veevaba+magneesiumsulfaatheptahüdraat+kaaliumsulfaat;
A06AG;Klistiiriks kasutatavad ained;
A06AG01;naatriumfosfaat(32P);
A06AG02;bisakodüül;
A06AG04;glütserool;
A06AG07;sorbitool;
A06AG11;naatriumlaurüülsulfoatsetaat+sorbitool+naatriumtsitraat;
A06AH;Perifeersed opioidiretseptori antagonistid;
A06AH01;metüülnaltreksoonbromiid;
A06AH03;naloksegool;
A06AH05;naldemediin;
A06AX;Teised kõhukinnisuse vastased ained;
A06AX01;glütserool;
A06AX03;lubiprostoon;
A06AX04;linaklotiid;
A06AX05;prukalopriid;
A06AX06;tegaserood;
A06AX80;naatriumvesinikkarbonaat+naatriumdivesinikfosfaat;
A06AX81;naatriumvesinikkarbonaat+kaaliumvesiniktartraat;
A07;KÕHULAHTISUSE-, SOOLEPÕLETIKU- JA SOOLEINFEKTSIOONIVASTASED AINED;
A07A;SOOLEINFEKTSIOONIVASTASED AINED;
A07AA;Antibiootikumid;
A07AA01;neomütsiin;
A07AA02;nüstatiin;
A07AA03;natamütsiin;
A07AA04;streptomütsiin;
A07AA05;polümüksiin B;
A07AA06;paromomütsiin;
A07AA07;amfoteritsiin;
A07AA08;kanamütsiin;
A07AA09;vankomütsiin;
A07AA10;kolistiin;
A07AA11;rifaksimiin;
A07AA12;fidaksomitsiin;
A07AB;Sulfoonamiidid;
A07AB02;ftalüülsulfatiasool;
A07AB03;sulfaguanidiin;
A07AB04;suktsinüülsulfatiasool;
A07AC;Imidasooli derivaadid;
A07AC01;mikonasool;
A07AX;Teised sooleinfektsioonivastased ained;
A07AX01;broksükinoliin;
A07AX02;atsetarsool;
A07AX03;nifuroksasiid;
A07AX04;nifursiid;
A07B;SOOLEADSORBENDID;
A07BA;Puusöepreparaadid;
A07BA01;aktiveeritud süsi;
A07BB;Vismutipreparaadid;
